month,region,phase_index,HCCF_anom,HCTB_anom,LCSP_anom,Direct_Net_anom_formal,direct_source_verified,metric_source_verified
2002-11-01,EP,1,0.0310363585,-0.0000445393,0.0237354531,2.2805157283,True,True
2002-12-01,EP,1,0.0270174268,0.0070280945,0.0113622332,-0.6676111502,True,True
2003-01-01,EP,1,0.0085852633,-0.0062409426,-0.0377340110,-2.2937924737,True,True
2003-02-01,EP,1,-0.0162896033,-0.0046946384,-0.0205061544,-0.6266002582,True,True
2003-03-01,EP,0,-0.0241314683,0.0163420139,-0.0103905499,-1.1663127255,True,True
2003-04-01,EP,0,-0.0235833158,0.0074453585,-0.0091168666,-0.9848933900,True,True
2003-05-01,EP,-1,-0.0277760511,0.0169245183,-0.0291507515,-2.7504414016,True,True
2003-06-01,EP,0,-0.0121151953,-0.0008706354,-0.0023485197,-0.6543280911,True,True
2003-07-01,EP,0,-0.0184045749,0.0047856307,0.0045975306,0.7099810420,True,True
2003-08-01,EP,0,-0.0147607433,-0.0024049265,-0.0010585058,0.2815839618,True,True
2003-09-01,EP,0,0.0040669051,-0.0136901670,0.0273171194,2.4951158522,True,True
2003-10-01,EP,0,-0.0063843612,-0.0010517472,0.0152479169,1.7737606174,True,True
2003-11-01,EP,0,0.0103802103,0.0026756750,0.0194955195,1.1084400043,True,True
2003-12-01,EP,0,0.0003232201,0.0006850024,0.0072658962,2.1688645803,True,True
2004-01-01,EP,0,0.0061210467,-0.0228304504,0.0141960460,2.4144862463,True,True
2004-02-01,EP,0,-0.0151123674,0.0138866482,-0.0068363704,1.1240524866,True,True
2004-03-01,EP,0,0.0272196701,-0.0028269227,-0.0074808009,-1.3810101396,True,True
2004-04-01,EP,0,-0.0003814119,-0.0139478378,0.0023296603,0.8566322280,True,True
2004-05-01,EP,0,-0.0125999552,0.0037087708,-0.0097120480,-1.3057806591,True,True
2004-06-01,EP,0,-0.0128018960,-0.0037915899,-0.0241793731,-1.6089114534,True,True
2004-07-01,EP,1,0.0084203136,-0.0127464184,0.0029144890,1.3243813953,True,True
2004-08-01,EP,1,-0.0020739288,-0.0004004053,-0.0176277728,-1.5047605928,True,True
2004-09-01,EP,1,0.0003752430,-0.0073017272,0.0135436601,2.6926478883,True,True
2004-10-01,EP,1,0.0021762371,-0.0011783294,0.0074443326,1.6247944459,True,True
2004-11-01,EP,1,0.0107843211,-0.0006370924,0.0276296490,2.8146237797,True,True
2004-12-01,EP,1,0.0136356526,0.0045632416,0.0236779002,1.7931831401,True,True
2005-01-01,EP,1,-0.0248413480,0.0086830398,-0.0031394704,1.0201213711,True,True
2005-02-01,EP,0,-0.0093629907,-0.0072182776,-0.0089775750,-0.6066056029,True,True
2005-03-01,EP,1,-0.0271164196,0.0044367806,-0.0035542434,-0.7716166077,True,True
2005-04-01,EP,0,-0.0122168273,0.0075128441,-0.0112300177,-1.4524246870,True,True
2005-05-01,EP,0,0.0038549055,-0.0069330824,-0.0004708753,1.9882104320,True,True
2005-06-01,EP,0,-0.0071406186,-0.0022901134,0.0050949246,0.1643352532,True,True
2005-07-01,EP,0,-0.0136182063,-0.0068883388,-0.0104682603,-0.3504730331,True,True
2005-08-01,EP,0,-0.0064398890,0.0008017973,0.0075373800,0.9848740446,True,True
2005-09-01,EP,0,0.0113056184,0.0050203203,0.0131279869,0.3796446438,True,True
2005-10-01,EP,0,-0.0217691446,-0.0099123858,-0.0120369170,0.5478791436,True,True
2005-11-01,EP,-1,-0.0068412238,0.0070496950,-0.0133152201,-0.9434276005,True,True
2005-12-01,EP,-1,-0.0189460959,-0.0039419205,0.0190395975,2.6277215638,True,True
2006-01-01,EP,-1,0.0174844979,0.0094359309,0.0327785062,2.3388192438,True,True
2006-02-01,EP,-1,0.0066349578,-0.0136997027,0.0138929137,0.4449472565,True,True
